Evaluate kitchen environment:
INFO: Making new env: kitchen-mixed-v0
Reading configurations for Franka
[40m[37mInitializing Franka sim[0m
skill prior type: gauss
number of prior: 1
seed 0, total reward: 0.0
seed 1, total reward: 0.0
seed 2, total reward: 0.0
seed 3, total reward: 0.0
seed 4, total reward: 0.0
seed 5, total reward: 0.0
seed 6, total reward: 0.0
seed 7, total reward: 0.0
seed 8, total reward: 0.0
seed 9, total reward: 0.0
seed 10, total reward: 0.0
seed 11, total reward: 0.0
seed 12, total reward: 0.0
