Evaluate office environment:
evaluate mppi
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode index: 0
episode time: 3.7539260387420654
success rate: 1.0
episode index: 1
episode time: 17.03256320953369
success rate: 0.5
episode index: 2
episode time: 18.699498176574707
success rate: 0.3333333333333333
episode index: 3
episode time: 7.792644262313843
success rate: 0.5
episode index: 4
episode time: 9.830533504486084
success rate: 0.6
episode index: 5
episode time: 2.6578545570373535
success rate: 0.6666666666666666
episode index: 6
episode time: 7.552059650421143
success rate: 0.7142857142857143
episode index: 7
episode time: 11.284578323364258
success rate: 0.75
episode index: 8
episode time: 3.8929145336151123
success rate: 0.7777777777777778
episode index: 9
episode time: 4.748704433441162
success rate: 0.8
episode index: 10
episode time: 7.020305633544922
success rate: 0.8181818181818182
episode index: 11
episode time: 6.81444239616394
success rate: 0.8333333333333334
episode index: 12
episode time: 4.61091685295105
success rate: 0.8461538461538461
episode index: 13
episode time: 2.4014430046081543
success rate: 0.8571428571428571
episode index: 14
episode time: 6.8568315505981445
success rate: 0.8666666666666667
episode index: 15
episode time: 18.756306886672974
success rate: 0.8125
episode index: 16
episode time: 19.587594747543335
success rate: 0.7647058823529411
episode index: 17
episode time: 7.482744216918945
success rate: 0.7777777777777778
episode index: 18
episode time: 5.661499977111816
success rate: 0.7894736842105263
episode index: 19
episode time: 3.7896125316619873
success rate: 0.8
episode index: 20
episode time: 13.645960807800293
success rate: 0.7619047619047619
episode index: 21
episode time: 14.68117094039917
success rate: 0.7727272727272727
episode index: 22
episode time: 17.508496522903442
success rate: 0.782608695652174
episode index: 23
episode time: 5.742800951004028
success rate: 0.7916666666666666
episode index: 24
episode time: 16.889932870864868
success rate: 0.8
episode index: 25
episode time: 17.89766216278076
success rate: 0.7692307692307693
episode index: 26
episode time: 6.888692855834961
success rate: 0.7777777777777778
episode index: 27
episode time: 19.701056003570557
success rate: 0.75
episode index: 28
episode time: 4.685838222503662
success rate: 0.7586206896551724
episode index: 29
episode time: 5.8771889209747314
success rate: 0.7666666666666667
episode index: 30
episode time: 15.865804433822632
success rate: 0.7419354838709677
episode index: 31
episode time: 19.59479522705078
success rate: 0.71875
episode index: 32
episode time: 6.253614664077759
success rate: 0.7272727272727273
episode index: 33
episode time: 8.707820415496826
success rate: 0.7352941176470589
episode index: 34
episode time: 16.400492191314697
success rate: 0.7142857142857143
episode index: 35
episode time: 5.6071531772613525
success rate: 0.7222222222222222
episode index: 36
episode time: 6.505425214767456
success rate: 0.7297297297297297
episode index: 37
episode time: 10.354151487350464
success rate: 0.7368421052631579
episode index: 38
episode time: 5.333746910095215
success rate: 0.7435897435897436
episode index: 39
episode time: 17.486815690994263
success rate: 0.725
episode index: 40
episode time: 4.254650592803955
success rate: 0.7317073170731707
episode index: 41
episode time: 6.271106243133545
success rate: 0.7380952380952381
episode index: 42
episode time: 5.387022972106934
success rate: 0.7441860465116279
episode index: 43
episode time: 6.832178115844727
success rate: 0.75
episode index: 44
episode time: 17.060394525527954
success rate: 0.7333333333333333
episode index: 45
episode time: 9.721877813339233
success rate: 0.7391304347826086
episode index: 46
episode time: 8.883287906646729
success rate: 0.7446808510638298
episode index: 47
episode time: 4.824659109115601
success rate: 0.75
episode index: 48
episode time: 9.155927658081055
success rate: 0.7551020408163265
episode index: 49
episode time: 4.514014482498169
success rate: 0.76
episode index: 50
episode time: 16.773381233215332
success rate: 0.7450980392156863
episode index: 51
episode time: 17.252326250076294
success rate: 0.7307692307692307
episode index: 52
episode time: 21.232821464538574
success rate: 0.7169811320754716
episode index: 53
episode time: 11.49349308013916
success rate: 0.7222222222222222
episode index: 54
episode time: 15.778785467147827
success rate: 0.7272727272727273
episode index: 55
episode time: 10.320167541503906
success rate: 0.7321428571428571
episode index: 56
episode time: 7.529969930648804
success rate: 0.7368421052631579
episode index: 57
episode time: 5.69677472114563
success rate: 0.7413793103448276
