Evaluate office environment:
evaluate mppi
Model mode: PlainNet, model type: q_no
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode index: 0
episode time: 4.109033823013306
success rate: 1.0
episode index: 1
episode time: 12.228548288345337
success rate: 1.0
episode index: 2
episode time: 8.978128433227539
success rate: 1.0
episode index: 3
episode time: 7.194262504577637
success rate: 1.0
episode index: 4
episode time: 9.602180004119873
success rate: 1.0
episode index: 5
episode time: 2.853471279144287
success rate: 1.0
episode index: 6
episode time: 4.551137208938599
success rate: 1.0
episode index: 7
episode time: 6.566842317581177
success rate: 1.0
episode index: 8
episode time: 8.4432213306427
success rate: 1.0
episode index: 9
episode time: 18.47620940208435
success rate: 1.0
episode index: 10
episode time: 16.7077693939209
success rate: 0.9090909090909091
episode index: 11
episode time: 6.660024166107178
success rate: 0.9166666666666666
episode index: 12
episode time: 4.581421852111816
success rate: 0.9230769230769231
episode index: 13
episode time: 19.881370306015015
success rate: 0.8571428571428571
episode index: 14
episode time: 4.1731345653533936
success rate: 0.8666666666666667
episode index: 15
episode time: 19.916295051574707
success rate: 0.8125
episode index: 16
episode time: 5.1432225704193115
success rate: 0.8235294117647058
episode index: 17
episode time: 16.90051794052124
success rate: 0.7777777777777778
episode index: 18
episode time: 2.721646785736084
success rate: 0.7894736842105263
episode index: 19
episode time: 1.1264617443084717
success rate: 0.8
episode index: 20
episode time: 16.61868143081665
success rate: 0.7619047619047619
episode index: 21
episode time: 13.257853746414185
success rate: 0.7272727272727273
episode index: 22
episode time: 6.09964394569397
success rate: 0.7391304347826086
episode index: 23
episode time: 17.836838722229004
success rate: 0.75
episode index: 24
episode time: 3.2773144245147705
success rate: 0.76
episode index: 25
episode time: 18.05746054649353
success rate: 0.7307692307692307
episode index: 26
episode time: 5.849052906036377
success rate: 0.7407407407407407
episode index: 27
episode time: 15.154820680618286
success rate: 0.7142857142857143
episode index: 28
episode time: 18.30860424041748
success rate: 0.6896551724137931
episode index: 29
episode time: 9.920474767684937
success rate: 0.7
episode index: 30
episode time: 10.029682636260986
success rate: 0.7096774193548387
episode index: 31
episode time: 9.308216333389282
success rate: 0.71875
episode index: 32
episode time: 4.406458139419556
success rate: 0.7272727272727273
episode index: 33
episode time: 13.750638961791992
success rate: 0.7352941176470589
episode index: 34
episode time: 6.910356521606445
success rate: 0.7428571428571429
episode index: 35
episode time: 7.625468492507935
success rate: 0.75
episode index: 36
episode time: 13.367250442504883
success rate: 0.7567567567567568
episode index: 37
episode time: 12.442795276641846
success rate: 0.7631578947368421
episode index: 38
episode time: 5.016689777374268
success rate: 0.7692307692307693
episode index: 39
episode time: 5.375517845153809
success rate: 0.775
episode index: 40
episode time: 17.991581439971924
success rate: 0.7804878048780488
episode index: 41
episode time: 18.153634786605835
success rate: 0.7619047619047619
episode index: 42
episode time: 5.210995197296143
success rate: 0.7674418604651163
episode index: 43
episode time: 11.77317190170288
success rate: 0.7727272727272727
episode index: 44
episode time: 8.815601587295532
success rate: 0.7777777777777778
episode index: 45
episode time: 12.986611366271973
success rate: 0.7608695652173914
episode index: 46
